factor,rank,feature,weight,abs_weight,direction
Factor8,17,DNM3,0.2362914293237463,0.2362914293237463,positive
Factor8,18,RAB27B,0.23225153427687464,0.23225153427687464,positive
Factor8,19,GTPBP2,0.22879549727297854,0.22879549727297854,positive
Factor8,20,CTNNAL1,0.2278700641746547,0.2278700641746547,positive
Factor9,1,IGHG1,-0.39790873090204965,0.39790873090204965,negative
Factor9,2,CLEC10A,-0.3510629320945337,0.3510629320945337,negative
Factor9,3,IGHG3,-0.3401865643574576,0.3401865643574576,negative
Factor9,4,TCL1A,0.33571753624042316,0.33571753624042316,positive
Factor9,5,SSPN,-0.32385973472830704,0.32385973472830704,negative
Factor9,6,HLA-DPB1,-0.31093350721391555,0.31093350721391555,negative
Factor9,7,CD1C,-0.30307439725685376,0.30307439725685376,negative
Factor9,8,AIM2,-0.29927952772057687,0.29927952772057687,negative
Factor9,9,TNFRSF13B,-0.2931466946817823,0.2931466946817823,negative
Factor9,10,HLA-DMA,-0.29053194861173953,0.29053194861173953,negative
Factor9,11,HLA-DQB1,-0.28395460918946147,0.28395460918946147,negative
Factor9,12,CLECL1,-0.2839181610970536,0.2839181610970536,negative
Factor9,13,CDKN1C,0.27763774862466434,0.27763774862466434,positive
Factor9,14,HLA-DPA1,-0.2692830319889114,0.2692830319889114,negative
Factor9,15,IGHD,0.26641710838343574,0.26641710838343574,positive
Factor9,16,COCH,-0.26618777229279134,0.26618777229279134,negative
Factor9,17,HLA-DQA2,-0.26298012066406407,0.26298012066406407,negative
Factor9,18,LGALS2,-0.262243382879274,0.262243382879274,negative
Factor9,19,LINC01781,-0.26167187128898767,0.26167187128898767,negative
Factor9,20,HLA-DRB5,-0.25586916173565144,0.25586916173565144,negative
Factor10,1,IGHG1,0.5159254507757294,0.5159254507757294,positive
Factor10,2,IGHG3,0.42584605585104207,0.42584605585104207,positive
Factor10,3,TNFRSF13B,0.4147761302402893,0.4147761302402893,positive
Factor10,4,AIM2,0.40381938558803054,0.40381938558803054,positive
Factor10,5,SSPN,0.4037827941219489,0.4037827941219489,positive
Factor10,6,LINC01781,0.35483233387988466,0.35483233387988466,positive
Factor10,7,COCH,0.3250157638253681,0.3250157638253681,positive
Factor10,8,IGHA1,0.32387473967832164,0.32387473967832164,positive
Factor10,9,TCL1A,-0.32021713104027794,0.32021713104027794,negative
Factor10,10,YBX3,-0.3035707719172168,0.3035707719172168,negative
Factor10,11,IGHG2,0.2997198840528049,0.2997198840528049,positive
Factor10,12,CLECL1,0.2974609799621309,0.2974609799621309,positive
Factor10,13,CLEC10A,-0.28836190119558597,0.28836190119558597,negative
Factor10,14,SHISA8,0.2841136910729709,0.2841136910729709,positive
Factor10,15,IGHA2,0.2539386136023659,0.2539386136023659,positive
Factor10,16,IGHG4,0.2496638737159043,0.2496638737159043,positive
Factor10,17,LGALS2,-0.24528263624027893,0.24528263624027893,negative
Factor10,18,JCHAIN,0.23731714672886223,0.23731714672886223,positive
Factor10,19,IGHD,-0.23692652271182352,0.23692652271182352,negative
Factor10,20,CPNE5,0.23213174994593003,0.23213174994593003,positive
