0,1,2
6.633017865383971e-30,0.0,1.0
2.455592671964773e-39,1.0,0.0
4.4713490325666447e-69,1.0,0.0
3.486181453417568e-18,0.0,1.0
2.640102094906448e-14,0.0,0.9999999999999751
1.0143314972318754e-15,0.9999999999999982,0.0
5.561147231940091e-26,1.0,0.0
3.725220620327844e-40,0.0,1.0
1.3781016880171405e-50,0.0,1.0
1.8287366173049134e-20,0.0,1.0
1.0,0.0,5.739885497432332e-50
1.6090427472260025e-68,1.0,0.0
3.655608539386714e-19,0.0,1.0
9.57166435534402e-16,0.0,1.0
0.0,1.0,0.0
8.604547738642286e-255,1.0,0.0
2.451082167427636e-28,1.0,0.0
1.0056783889088638e-08,0.0,0.9999999899432161
2.9908728129441624e-57,1.0,0.0
7.054111636419816e-25,0.0,1.0
1.20440173576799e-171,1.0,0.0
4.171343080478064e-12,0.0,0.9999999999958291
4.143503057898291e-25,0.0,1.0
3.2029650245123336e-17,0.0,1.0
1.0,3.2613328163841895e-31,0.0
2.687383598470031e-19,0.0,1.0
2.010839904149e-311,0.0,1.0
8.355503404285726e-24,1.0,0.0
6.1064881567811055e-21,1.0,0.0
3.362599336523372e-17,0.0,1.0
2.857590609758047e-13,0.9999999999997145,0.0
4.187911780920808e-95,1.0,0.0
8.661261316145806e-107,1.0,0.0
4.965273729453973e-34,1.0,0.0
1.723023556629628e-17,0.0,1.0
1.2401480475882914e-104,1.0,0.0
0.0,1.0,0.0
0.9999002923039783,9.970769602155693e-05,0.0
2.335840806691626e-15,0.0,0.9999999999999964
1.019404876529698e-51,1.0,0.0
2.509073330933658e-26,0.0,1.0
1.72723211452124e-39,1.0,0.0
0.9999997384678734,0.0,2.61532126461642e-07
9.419005424068153e-36,0.0,1.0
3.1554415889244846e-235,1.0,0.0
1.5837021668388784e-15,0.0,1.0
0.0,1.0,0.0
1.0,1.449704722579386e-101,0.0
2.268164532306156e-20,1.0,0.0
1.3837518310091672e-24,1.0,0.0
5.945974592223346e-10,0.0,0.9999999994054036
1.4519706561514694e-16,0.0,1.0
6.379310902383583e-156,1.0,0.0
0.0,1.0,0.0
6.713714811524588e-17,0.0,1.0
1.48963094704133e-12,0.0,0.9999999999985114
1.7627400041096763e-15,0.0,1.0
8.688569915966608e-19,1.0,0.0
6.570765401940938e-20,0.0,1.0
6.226679879568307e-14,0.0,0.999999999999936
1.1027739948077837e-19,0.0,1.0
1.57453831530033e-20,0.0,1.0
1.951542634690906e-11,0.0,0.9999999999804849
7.07826458039834e-10,0.9999999992921733,0.0
5.260403755788252e-56,1.0,0.0
3.286264565360449e-25,0.0,1.0
1.0619045301584272e-52,0.0,1.0
8.183829945318069e-244,1.0,0.0
4.463374604998851e-22,0.0,1.0
1.8833672602723036e-17,0.0,1.0
0.0,1.0,0.0
1.4420215419699337e-276,1.0,0.0
3.55724407597858e-10,0.0,0.9999999996442757
2.3442458326161218e-120,1.0,0.0
2.2780457092030065e-16,0.0,1.0
2.5324746047252118e-27,0.0,1.0
1.0,0.0,3.2602239205560985e-17
1.587221461673208e-21,0.0,1.0
9.052320099153256e-85,1.0,0.0
3.883451885510896e-32,0.0,1.0
1.2955560378307648e-25,0.0,1.0
0.999999999998399,0.0,1.6010964449841992e-12
2.1748460287552963e-20,0.0,1.0
3.653547971807302e-14,0.0,0.9999999999999645
1.0299499862794788e-196,1.0,0.0
5.16290287846567e-21,0.0,1.0
9.02521741146205e-220,1.0,0.0
2.2474165883569652e-108,1.0,0.0
2.9379992198301985e-216,1.0,0.0
1.1854492300700837e-12,0.9999999999988152,0.0
2.8119510741825214e-67,1.0,0.0
2.86076891110514e-16,0.9999999999999998,0.0
1.0,2.372293228149218e-18,0.0
7.192660340790982e-23,1.0,0.0
3.60257448784902e-265,1.0,0.0
1.3898036895241676e-64,1.0,0.0
3.33489511711469e-45,1.0,0.0
3.186760191523505e-63,1.0,0.0
2.2657042332110483e-89,1.0,0.0
0.0,1.0,0.0
2.1561872597049693e-22,0.0,1.0
2.17939733659998e-17,0.0,1.0
2.9890093883385573e-16,0.0,1.0
6.423905564450089e-22,0.0,1.0
9.0739032029318e-31,0.0,1.0
8.508212072846126e-14,0.0,0.9999999999999147
7.860587119123146e-281,1.0,0.0
8.183848052035094e-17,0.0,1.0
1.4928681316691286e-99,1.0,0.0
1.5694282406467267e-69,0.0,1.0
2.3817589031715416e-25,0.0,1.0
4.05874049067506e-207,1.0,0.0
3.79115745598305e-17,0.0,1.0
1.7406896391028968e-20,0.0,1.0
2.7394598332398365e-164,1.0,0.0
8.153041521497658e-24,0.0,1.0
5.611253580723685e-147,1.0,0.0
7.002170185704161e-17,1.0,0.0
1.253609824981071e-05,0.0,0.9999874639017503
1.421515041127271e-23,0.0,1.0
0.9998757636279753,0.0,0.0001242363720247034
1.305793778410137e-26,0.0,1.0
1.0,0.0,1.0476904948427864e-52
